Instance,Vehicles,Distance
25-ce-6.txt,2,219.10
25-ch-3.txt,3,191.81
25-ch-4.txt,3,191.81
25-rce-31.txt,2,471.06
25-rch-28.txt,4,409.34
25-rch-29.txt,3,297.80
25-re-19.txt,2,553.40
25-re-20.txt,2,445.12
25-re-22.txt,1,490.26
25-re-23.txt,1,486.60
25-re-24.txt,1,682.50
25-rh-13.txt,4,428.91
25-rh-18.txt,4,436.89
50-ce-7.txt,2,440.16
50-ce-10.txt,2,474.60
50-ch-1.txt,5,501.92
50-rce-32.txt,2,809.09
50-rch-26.txt,7,775.99
50-re-21.txt,2,581.30
50-rh-12.txt,8,904.95
50-rh-14.txt,6,668.80
50-rh-15.txt,9,1030.95
50-rh-16.txt,6,665.25
100-ce-8.txt,4,1048.78
100-ce-9.txt,3,940.36
100-ch-2.txt,10,1143.23
100-ch-5.txt,10,1379.45
100-rce-33.txt,4,1654.12
100-rch-25.txt,17,1863.59
100-rch-27.txt,16,1668.85
100-rch-30.txt,12,1392.24
100-rh-11.txt,21,1799.05
100-rh-17.txt,12,1253.91
200-ce-36.txt,7,2961.16
200-ce-37.txt,7,3260.34
200-ch-34.txt,21,4070.70
200-ch-35.txt,20,3911.17
200-rce-42.txt,6,3791.10
200-rce-43.txt,5,3362.67
200-rch-41.txt,18,4301.80
200-re-39.txt,4,2881.95
200-re-40.txt,4,4357.29
200-rh-38.txt,19,5099.79
400-ce-46.txt,14,10702.16
400-ce-47.txt,15,9716.03
400-ch-44.txt,38,12659.30
400-ch-45.txt,41,11255.12
400-rce-51.txt,12,11215.22
400-rch-50.txt,37,12306.17
400-re-49.txt,8,14622.82
400-rh-48.txt,37,11391.75
600-ce-53.txt,24,24875.91
600-ch-52.txt,59,20328.89
600-rce-58.txt,13,28652.46
600-rch-57.txt,56,26388.00
600-re-56.txt,11,36646.49
600-rh-54.txt,55,34401.14
600-rh-55.txt,55,30227.28
800-ce-60.txt,33,48743.83
800-ch-59.txt,94,44690.25
800-rce-64.txt,23,59053.51
800-rch-63.txt,74,49855.68
800-re-62.txt,18,73549.30
800-rh-61.txt,81,56094.26
